,,,,12 Team,,,14 Team,10 Team,,AAV,Health Report,,
Rank,Name,Team,Pos,Fantrax,MFL,NFFC,MFL,MFL,NFFC,MFL,Status,Injury,fp_PPR
209,Mac Jones,NE,QB,156.78,-,225.28,-,-,208.85,$3.11 ,,,
210,Hayden Hurst,ATL,TE,192.37,-,225.53,-,-,212.85,$1.97 ,,,
211,Malcolm Brown,MIA,RB,195.54,-,225.98,-,-,208.49,$1.02 ,IR,Quadriceps,
212,Randall Cobb,GB,WR,189.08,-,226.05,-,-,200.33,$1.79 ,,,
213,Breshad Perriman,TB,WR,205.01,-,228.75,-,-,208.02,$1.65 ,Ques,Hip,
214,Cam Newton,CAR,QB,204.71,-,230.48,-,-,210.84,$1.47 ,,,
215,Justin Jackson,LAC,RB,204.15,-,230.77,-,-,210.16,$3.14 ,,,
216,Kadarius Toney,NYG,WR,200.42,-,232.95,-,-,210.74,$4.79 ,Ques,Shoulder,
217,Darius Slayton,NYG,WR,207.84,-,233.63,-,-,215.29,$1.66 ,,,
218,Jeff Wilson,SF,RB,198.1,-,233.84,-,-,202.84,$2.34 ,Ques,Ankle,
219,Wayne Gallman,MIN,RB,210.71,-,233.85,-,-,208.61,$1.40 ,,,
220,Jimmy Garoppolo,SF,QB,216.4,-,236.31,-,-,212.97,$0.94 ,Ques,Thumb,
221,O.J. Howard,TB,TE,205.82,-,236.33,-,-,214.02,$1.67 ,,,
222,Teddy Bridgewater,DEN,QB,211.32,-,238.42,-,-,210.94,$3.27 ,IR,Concussion,
223,Denzel Mims,NYJ,WR,205.84,-,239.53,-,-,204.21,$0.86 ,,,
224,Samaje Perine,CIN,RB,219.23,-,240.43,-,-,215.61,$1.31 ,,,
225,Ricky Seals-Jones,WAS,TE,-,-,240.96,-,-,-,-,IR,Concussion,
226,Dion Lewis,FA,RB,-,-,240.96,-,-,-,-,,,
227,Darrell Daniels,ARI,TE,-,-,240.98,-,-,-,-,,,
228,Jeremy Sprinkle,DAL,TE,-,-,241.01,-,-,-,-,,,
229,Craig Reynolds,DET,RB,-,-,241.03,-,-,201.1,-,,,
230,Keith Smith,ATL,FB,-,-,241.06,-,-,-,-,,,
231,Ryan Izzo,TEN,TE,-,-,241.06,-,-,-,-,,,
232,Kristian Wilkerson,NE,WR,-,-,241.07,-,-,-,-,,,
233,Nick Keizer,FA,TE,-,-,241.07,-,-,-,-,,,
234,Charlie Woerner,SF,TE,422.6,-,241.08,-,-,-,-,,,
235,Easton Stick,LAC,QB,-,-,241.08,-,-,-,-,,,
236,Nick Mullens,CLE,QB,-,-,241.08,-,-,-,$0.13 ,,,
237,Jonathan Williams,WAS,RB,284,-,241.08,-,-,-,-,,,
238,Jason Croom,PHI,TE,-,-,241.08,-,-,-,-,IR,Knee,
239,Nathan Peterman,FA,QB,-,-,241.08,-,-,-,-,,,
